Country,answers_collected,count_of_voters,voters_reported_by_cik,davankov_exit_poll,davankov_cik,spoiled_exit_poll,spoiled_cik,declined_to_answer,voted_putin_exit_poll,declined_to_answer_and_putin,voted_putin_cik,Slutskiy_exit_poll,slutskiy_cik,haritonov_exit_poll,haritonov_cik,Ballot removed or destroyed,iso_alpha,Country_rus,percent_putin,percent_declined,percent_voted_putin_and_declined,percent_spoiled
Argentina,1356,1687,1616,723,887,262.0,321,239,77,316,337,16.0,23,29.0,48,10.0,ARG,Аргентина,0.056784660766961655,0.1762536873156342,0.23303834808259588,0.19321533923303835
Armenia,3903,0,8290,2365,3879,612.0,1054,429,411,840,3059,29.0,142,48.0,156,9.0,ARM,Армения,0.10530361260568794,0.10991544965411222,0.21521906225980014,0.15680245964642583
Australia,536,831,1432,288,439,125.0,190,6,94,100,747,5.0,24,18.0,32,0.0,AUS,Австралия,0.17537313432835822,0.011194029850746268,0.1865671641791045,0.2332089552238806
Austria,3015,18911525,3715,1443,1748,635.0,749,623,230,853,1077,22.0,37,56.0,104,6.0,AUT,Австрия,0.07628524046434494,0.2066334991708126,0.28291873963515757,0.21061359867330018
Belgium,639,0,1542,270,476,166.0,278,28,149,177,711,3.0,35,14.0,42,9.0,BEL,Бельгия,0.23317683881064163,0.04381846635367762,0.27699530516431925,0.2597809076682316
Canada,1773,925366808,2201,491,609,256.0,290,642,331,973,1229,13.0,29,28.0,44,12.0,CAN,Канада,0.18668922729836435,0.36209813874788493,0.5487873660462493,0.14438804286520024
Costa Rica,92,0,128,24,44,11.0,14,29,25,54,63,0.0,1,3.0,6,0.0,CRI,Коста-Рика,0.2717391304347826,0.31521739130434784,0.5869565217391305,0.11956521739130435
Croatia,313,390,328,131,158,52.0,54,78,43,121,102,4.0,5,5.0,9,0.0,HRV,Хорватия,0.13738019169329074,0.24920127795527156,0.3865814696485623,0.16613418530351437
Cyprus,5663,0,53216,2600,1205,752.0,1690,833,1310,2143,44844,63.0,2924,89.0,2553,16.0,CYP,Кипр,0.23132615221613986,0.14709517923362175,0.3784213314497616,0.13279180646300548
Czech Republic,1310,1500,1633,871,978,325.0,348,21,54,75,256,18.0,27,17.0,24,4.0,CZE,Чехия,0.04122137404580153,0.01603053435114504,0.05725190839694656,0.2480916030534351
Denmark,620,814,794,319,383,143.0,162,88,49,137,215,8.0,11,10.0,23,3.0,DNK,Дания,0.07903225806451612,0.14193548387096774,0.22096774193548388,0.2306451612903226
Estonia,1508,2526,2437,231,311,172.0,224,959,119,1078,1833,4.0,19,12.0,50,11.0,EST,Эстония,0.07891246684350132,0.6359416445623343,0.7148541114058355,0.11405835543766578
